timestamp,oga,ole,owi,ohe,oa,obv,otve,speed,owe,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead
2017-07-07T22:58:37.919,144.88,29.0,20.4,18.6,-5.0,110038.0,2810.0,539.76,20.5,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:38.696,64.25,18.8,14.2,13.0,-22.0,34705.0,2757.0,539.76,19.4,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:39.260,44.84,14.6,18.6,12.8,-896.0,34760.0,2757.0,539.76,28.2,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:40.219,72.2,31.2,21.8,18.4,-12.0,125149.0,2778.0,539.76,40.7,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:40.855,55.78,12.2,12.4,7.8,871.0,11800.0,2767.0,539.76,11.0,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:41.553,39.37,36.4,22.2,21.8,32.0,176161.0,2788.0,539.76,40.5,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:42.028,32.71,19.2,8.2,8.8,-9.0,13855.0,2770.0,539.76,53.1,0,1,1,0,0,0,0,1,1
2017-07-07T22:58:42.748,38.22,37.6,24.8,4.4,-10.0,41029.0,2797.0,539.76,4.9,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:43.494,62.44,17.8,15.0,11.0,-26.0,29370.0,2778.0,539.76,57.4,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:43.888,24.21,18.0,15.6,12.6,-30.0,35381.0,2773.0,539.76,26.4,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:45.202,121.33,18.6,14.0,13.4,15.0,34894.0,2778.0,539.76,28.2,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:45.480,18.77,10.4,7.6,7.8,-24.0,6165.0,2746.0,539.76,0.7,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:46.349,57.0,37.4,24.8,4.4,7.0,40811.0,2751.0,539.76,4.7,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:47.404,97.63,17.2,15.8,10.6,11.0,28807.0,2767.0,539.76,44.7,0,0,0,0,1,0,0,0,1
2017-07-07T22:58:48.265,76.41,17.2,21.8,12.4,880.0,46495.0,2762.0,539.76,18.1,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:48.540,20.0,10.6,10.0,6.8,-31.0,7208.0,2762.0,539.76,1.7,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:48.838,20.0,10.2,12.4,5.6,879.0,7083.0,2746.0,539.76,5.7,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:50.120,125.51,12.4,9.8,6.6,-12.0,8020.0,2751.0,539.76,13.4,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:51.634,137.67,25.8,14.4,4.4,-17.0,16347.0,2778.0,539.76,2.9,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:52.977,95.19,47.4,21.6,5.2,18.0,53240.0,2762.0,539.76,14.4,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:54.330,126.1,18.0,15.4,12.8,-6.0,35482.0,2775.0,539.76,27.6,0,0,1,0,0,0,0,1,1
2017-07-07T22:58:56.473,206.81,26.0,16.4,12.2,-14.0,52021.0,2789.0,539.76,3.8,0,1,0,0,0,0,0,1,0
2017-07-07T22:58:57.866,128.54,18.8,14.4,12.8,-9.0,34652.0,2757.0,539.76,28.0,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:01.545,379.64,18.8,13.0,9.6,-23.0,23462.0,2743.0,539.76,34.0,0,1,1,0,0,0,0,1,1
2017-07-07T22:59:03.716,209.21,22.4,15.6,9.8,-12.0,34245.0,2762.0,539.76,9.5,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:04.258,45.43,13.4,14.6,11.0,899.0,21520.0,2759.0,539.76,16.4,0,0,0,0,1,0,0,0,1
2017-07-07T22:59:04.535,22.48,9.6,12.2,6.8,896.0,7964.0,2746.0,539.76,1.4,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:05.563,95.78,14.0,7.4,8.6,-13.0,8910.0,2757.0,539.76,11.6,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:05.933,28.46,12.6,14.6,8.4,897.0,15453.0,2773.0,539.76,12.0,0,1,1,0,0,0,0,1,1
2017-07-07T22:59:06.565,49.05,15.8,22.8,16.0,854.0,57638.0,2770.0,539.76,27.7,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:07.009,40.0,7.2,6.4,4.6,64.0,2120.0,2757.0,539.76,2.8,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:07.926,73.42,24.6,13.4,15.8,3.0,52083.0,2783.0,539.76,16.8,0,1,1,0,0,0,0,1,1
2017-07-07T22:59:09.363,134.6,21.0,17.8,11.8,-18.0,44108.0,2759.0,539.76,34.0,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:11.786,247.44,10.8,13.2,12.8,876.0,18248.0,2773.0,539.76,6.1,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:12.916,86.69,37.4,25.0,4.2,-5.0,39270.0,2751.0,539.76,4.8,0,1,1,0,0,0,0,1,1
2017-07-07T22:59:14.004,79.44,35.2,21.6,14.2,-6.0,107965.0,2770.0,539.76,51.7,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:15.534,154.01,11.2,7.6,5.8,-25.0,4937.0,2767.0,539.76,5.3,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:16.350,72.12,13.4,14.0,7.4,-876.0,13882.0,2799.0,539.76,1.3,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:16.633,20.0,11.0,8.2,9.2,25.0,8298.0,2767.0,539.76,3.1,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:16.925,21.22,11.2,7.6,5.8,-18.0,4937.0,2749.0,539.76,1.9,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:17.270,21.81,13.6,10.0,9.2,-3.0,12512.0,2773.0,539.76,24.0,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:18.387,111.57,10.2,10.6,6.8,892.0,7352.0,2757.0,539.76,1.8,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:20.126,174.64,10.2,7.6,7.8,-16.0,6047.0,2762.0,539.76,5.2,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:21.671,151.02,15.8,12.4,6.4,-40.0,12539.0,2751.0,539.76,2.3,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:22.464,69.09,16.4,12.0,11.2,-2.0,22042.0,2767.0,539.76,52.9,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:24.443,194.68,19.2,13.0,8.8,6.0,21965.0,2762.0,539.76,31.0,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:27.590,323.22,16.0,12.0,9.6,-13.0,18432.0,2778.0,539.76,31.5,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:28.082,36.37,16.4,11.6,9.6,-34.0,18263.0,2773.0,539.76,29.5,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:28.961,61.88,32.6,6.2,5.8,-14.0,11723.0,2767.0,539.76,22.0,0,1,1,0,0,0,0,1,1
2017-07-07T22:59:29.371,30.27,12.6,8.4,6.0,-38.0,6350.0,2757.0,539.76,2.9,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:29.922,45.47,14.8,11.8,7.8,-14.0,13622.0,2778.0,539.76,6.5,0,1,1,0,0,0,0,1,1
2017-07-07T22:59:30.523,39.4,22.4,16.0,16.0,-38.0,57344.0,2789.0,539.76,20.0,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:32.537,195.23,23.0,16.2,16.0,5.0,59616.0,2767.0,539.76,39.8,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:33.589,100.03,13.8,13.8,11.6,-33.0,22091.0,2762.0,539.76,23.5,0,1,1,0,0,0,0,1,1
2017-07-07T22:59:35.610,209.21,6.6,6.4,6.4,-35.0,2703.0,2767.0,539.76,0.7,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:37.095,121.29,36.6,5.6,5.4,-33.0,11068.0,2773.0,539.76,6.3,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:37.495,30.31,13.0,9.4,6.8,-26.0,8310.0,2751.0,539.76,3.5,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:37.830,26.06,10.2,10.4,4.6,-880.0,4880.0,2778.0,539.76,6.3,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:40.170,228.62,22.4,15.6,9.6,-32.0,33546.0,2757.0,539.76,14.0,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:41.989,158.26,37.8,5.0,5.6,-24.0,10584.0,2762.0,539.76,6.2,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:46.097,428.77,15.8,12.4,5.0,-9.0,9796.0,2759.0,539.76,4.4,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:47.396,124.33,13.4,9.4,9.8,2.0,12344.0,2759.0,539.76,23.8,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:49.082,172.24,11.6,9.2,9.0,4.0,9605.0,2762.0,539.76,42.6,0,1,1,0,0,0,0,1,1
