,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 11numberoccur,CAN1: Dev. 11errid,CAN1: Dev. 11firsttime,CAN1: Dev. 11lasttime,CAN1: Dev. 12numberoccur,CAN1: Dev. 12errid,CAN1: Dev. 12firsttime,CAN1: Dev. 12lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,throughput
0,2017-07-25T22:58:25.009,8919.0,started,539.57,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,16,3000400,2017-07-24T10:00:38,2017-07-25T20:31:17,35.0
1,2017-07-25T22:59:25.009,38122.0,started,539.57,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,16,3000400,2017-07-24T10:00:38,2017-07-25T20:31:17,86.0
2,2017-07-25T23:00:25.009,1849.0,started,538.39,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,16,3000400,2017-07-24T10:00:38,2017-07-25T20:31:17,93.0
3,2017-07-25T23:01:25.022,30977.0,started,538.39,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,16,3000400,2017-07-24T10:00:38,2017-07-25T20:31:17,38.0
4,2017-07-25T23:02:25.021,60195.0,started,538.39,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,16,3000400,2017-07-24T10:00:38,2017-07-25T20:31:17,79.0
5,2017-07-25T23:03:25.021,23907.0,started,541.73,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,16,3000400,2017-07-24T10:00:38,2017-07-25T20:31:17,104.0
6,2017-07-25T23:04:25.021,53095.0,started,541.54,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,16,3000400,2017-07-24T10:00:38,2017-07-25T20:31:17,68.0
7,2017-07-25T23:05:25.021,16822.0,started,540.94,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,129.0
8,2017-07-25T23:06:25.021,45965.0,started,540.55,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,60.0
9,2017-07-25T23:07:25.021,9647.0,started,539.57,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,97.0
10,2017-07-25T23:08:25.021,38925.0,started,539.57,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,145.0
11,2017-07-25T23:09:25.021,2577.0,started,540.94,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,103.0
12,2017-07-25T23:10:25.021,31720.0,started,541.34,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,62.0
13,2017-07-25T23:11:25.040,60878.0,started,541.14,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,15,3000400,2017-07-24T10:00:36,2017-07-25T18:48:19,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,78.0
14,2017-07-25T23:12:25.027,24515.0,started,537.4,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,17,3000400,2017-07-24T10:00:36,2017-07-25T23:12:11,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,91.0
15,2017-07-25T23:13:25.027,53643.0,started,539.96,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,18,3000400,2017-07-24T10:00:36,2017-07-25T23:12:29,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,76.0
16,2017-07-25T23:14:25.027,17235.0,started,539.96,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,18,3000400,2017-07-24T10:00:36,2017-07-25T23:12:29,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,68.0
17,2017-07-25T23:15:25.027,46408.0,started,539.96,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,18,3000400,2017-07-24T10:00:36,2017-07-25T23:12:29,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,94.0
18,2017-07-25T23:16:25.027,10045.0,started,539.96,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,18,3000400,2017-07-24T10:00:36,2017-07-25T23:12:29,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,87.0
19,2017-07-25T23:17:25.027,39158.0,started,539.96,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,18,3000400,2017-07-24T10:00:36,2017-07-25T23:12:29,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,48.0
20,2017-07-25T23:18:25.027,2735.0,started,540.94,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,18,3000400,2017-07-24T10:00:36,2017-07-25T23:12:29,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,44.0
21,2017-07-25T23:19:25.027,31788.0,started,540.94,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,18,3000400,2017-07-24T10:00:36,2017-07-25T23:12:29,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,34.0
22,2017-07-25T23:20:25.027,60841.0,started,540.94,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,13,3000400,2017-07-24T10:00:36,2017-07-25T19:18:18,7,3000400,2017-07-24T10:00:36,2017-07-25T22:15:49,18,3000400,2017-07-24T10:00:36,2017-07-25T23:12:29,26,3000400,2017-07-24T10:00:37,2017-07-25T22:46:34,19,3000400,2017-07-24T10:00:37,2017-07-25T22:15:50,17,3000400,2017-07-24T10:00:38,2017-07-25T23:04:30,60.0
