,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,throughput
0,2017-08-03T22:58:12.311,21409.0,started,540.35,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,32.0
1,2017-08-03T22:59:12.307,50477.0,started,536.42,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,76.0
2,2017-08-03T23:00:12.307,13994.0,started,537.4,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,81.0
3,2017-08-03T23:01:12.307,43107.0,started,542.52,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,80.0
4,2017-08-03T23:02:12.307,6654.0,started,542.32,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,63.0
5,2017-08-03T23:03:12.323,35722.0,started,536.61,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,88.0
6,2017-08-03T23:04:12.323,64730.0,started,540.16,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,40.0
7,2017-08-03T23:05:12.326,28232.0,started,540.16,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,80.0
8,2017-08-03T23:06:12.323,57240.0,started,537.4,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,87.0
9,2017-08-03T23:07:12.323,20757.0,started,537.4,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,99.0
10,2017-08-03T23:08:12.323,49780.0,started,537.4,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,87.0
11,2017-08-03T23:09:12.341,13297.0,started,536.81,ft/min,7,3000400,2017-08-03T19:15:24,2017-08-03T22:35:33,7,3000400,2017-08-03T19:15:25,2017-08-03T22:35:34,5,3000400,2017-08-03T19:15:25,2017-08-03T20:46:28,4,3000400,2017-08-03T19:15:26,2017-08-03T21:58:35,68.0
