timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 11numberoccur,CAN1: Dev. 11errid,CAN1: Dev. 11firsttime,CAN1: Dev. 11lasttime,CAN1: Dev. 12numberoccur,CAN1: Dev. 12errid,CAN1: Dev. 12firsttime,CAN1: Dev. 12lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime
2017-07-29T22:58:27.951,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T22:59:27.951,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:00:27.951,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:01:27.956,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:02:27.956,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:03:27.956,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:04:27.956,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:05:27.956,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:06:27.956,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:07:27.956,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:08:27.956,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:09:27.956,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:10:27.956,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:11:27.964,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
2017-07-29T23:12:27.964,33019.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,41,03000400,2017-07-24T10:00:36,2017-07-29T01:35:28,15,03000400,2017-07-24T10:00:36,2017-07-28T22:16:38,56,03000400,2017-07-24T10:00:36,2017-07-29T03:52:38,52,03000400,2017-07-24T10:00:37,2017-07-28T23:47:55,39,03000400,2017-07-24T10:00:37,2017-07-28T23:27:14,40,03000400,2017-07-24T10:00:38,2017-07-28T22:42:41
