,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 11numberoccur,CAN1: Dev. 11errid,CAN1: Dev. 11firsttime,CAN1: Dev. 11lasttime,CAN1: Dev. 12numberoccur,CAN1: Dev. 12errid,CAN1: Dev. 12firsttime,CAN1: Dev. 12lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,throughput
0,2017-07-24T22:58:03.942,25405.0,stopped,0.0,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,11,3000400,2017-07-24T10:00:37,2017-07-24T15:50:31,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,0.0
1,2017-07-24T22:58:09.780,25825.0,started,224.8,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,11,3000400,2017-07-24T10:00:37,2017-07-24T15:50:31,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,1.0
2,2017-07-24T22:58:24.206,63790.0,started,539.76,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,11,3000400,2017-07-24T10:00:37,2017-07-24T15:50:31,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,9.0
3,2017-07-24T22:59:24.206,27382.0,started,540.55,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,12,3000400,2017-07-24T10:00:37,2017-07-24T22:59:08,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,43.0
4,2017-07-24T23:00:24.206,56540.0,started,541.14,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,12,3000400,2017-07-24T10:00:37,2017-07-24T22:59:08,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,72.0
5,2017-07-24T23:01:24.212,20267.0,started,540.35,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,12,3000400,2017-07-24T10:00:37,2017-07-24T22:59:08,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,109.0
6,2017-07-24T23:02:24.212,49515.0,started,539.96,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,12,3000400,2017-07-24T10:00:37,2017-07-24T22:59:08,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,102.0
7,2017-07-24T23:03:24.212,13182.0,started,539.96,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,12,3000400,2017-07-24T10:00:37,2017-07-24T22:59:08,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,77.0
8,2017-07-24T23:04:24.212,42355.0,started,540.75,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,12,3000400,2017-07-24T10:00:37,2017-07-24T22:59:08,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,67.0
9,2017-07-24T23:04:29.557,51505.0,stopped,0.0,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,12,3000400,2017-07-24T10:00:37,2017-07-24T22:59:08,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,5.0
10,2017-07-24T23:05:24.212,51505.0,stopped,0.0,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,8,3000400,2017-07-24T10:00:36,2017-07-24T15:47:21,4,3000400,2017-07-24T10:00:36,2017-07-24T12:18:28,5,3000400,2017-07-24T10:00:36,2017-07-24T15:50:31,12,3000400,2017-07-24T10:00:37,2017-07-24T22:59:08,8,3000400,2017-07-24T10:00:37,2017-07-24T22:28:54,10,3000400,2017-07-24T10:00:38,2017-07-24T21:52:09,1.0
