timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime
2017-08-09T22:58:16.969,44069.0,started,541.34,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,32,03000400,2017-08-03T19:15:25,2017-08-09T19:26:49,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T22:59:16.969,7601.0,started,540.55,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,32,03000400,2017-08-03T19:15:25,2017-08-09T19:26:49,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:00:16.969,36819.0,started,542.13,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,32,03000400,2017-08-03T19:15:25,2017-08-09T19:26:49,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:01:16.969,321.0,started,538.39,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,32,03000400,2017-08-03T19:15:25,2017-08-09T19:26:49,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:02:16.969,29419.0,started,538.39,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,32,03000400,2017-08-03T19:15:25,2017-08-09T19:26:49,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:03:16.969,58532.0,started,539.57,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,32,03000400,2017-08-03T19:15:25,2017-08-09T19:26:49,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:04:16.967,22094.0,started,539.57,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,32,03000400,2017-08-03T19:15:25,2017-08-09T19:26:49,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:05:16.967,51147.0,started,539.57,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,32,03000400,2017-08-03T19:15:25,2017-08-09T19:26:49,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:06:16.967,14739.0,started,539.57,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,32,03000400,2017-08-03T19:15:25,2017-08-09T19:26:49,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:07:16.967,43927.0,started,539.57,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:08:16.967,7564.0,started,539.57,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:09:16.967,36782.0,started,539.57,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:10:16.967,479.0,started,539.57,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:11:16.970,29667.0,started,539.57,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:12:16.967,58840.0,started,540.75,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:13:16.967,22507.0,started,540.75,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:14:16.979,51725.0,started,539.76,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:15:16.979,15407.0,started,539.76,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:16:16.979,44640.0,started,539.76,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:17:16.979,8307.0,started,539.76,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
2017-08-09T23:18:16.979,37510.0,started,539.76,ft/min,25,03000400,2017-08-03T19:15:24,2017-08-09T22:29:46,36,03000400,2017-08-03T19:15:25,2017-08-09T20:49:17,33,03000400,2017-08-03T19:15:25,2017-08-09T23:07:05,28,03000400,2017-08-03T19:15:26,2017-08-09T15:09:33
