timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime
2017-07-03T22:58:10.579,64328.0,started,539.37,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,45,03000400,2017-05-30T10:06:25,2017-07-03T19:36:55,37,03000400,2017-05-30T10:06:29,2017-07-03T19:36:54,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,45,03000400,2017-05-30T10:06:33,2017-07-03T20:03:01,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
2017-07-03T22:59:10.579,27800.0,started,539.37,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,-1,-1,-1,-1,37,03000400,2017-05-30T10:06:29,2017-07-03T19:36:54,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,45,03000400,2017-05-30T10:06:33,2017-07-03T20:03:01,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
2017-07-03T23:00:10.579,56823.0,started,539.37,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,47,03000400,2017-05-30T10:06:25,2017-07-03T22:59:28,37,03000400,2017-05-30T10:06:29,2017-07-03T19:36:54,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,45,03000400,2017-05-30T10:06:33,2017-07-03T20:03:01,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
2017-07-03T23:01:10.579,20324.0,started,539.37,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,47,03000400,2017-05-30T10:06:25,2017-07-03T22:59:28,37,03000400,2017-05-30T10:06:29,2017-07-03T19:36:54,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,45,03000400,2017-05-30T10:06:33,2017-07-03T20:03:01,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
2017-07-03T23:02:10.579,49363.0,started,537.2,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,47,03000400,2017-05-30T10:06:25,2017-07-03T22:59:28,37,03000400,2017-05-30T10:06:29,2017-07-03T19:36:54,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,45,03000400,2017-05-30T10:06:33,2017-07-03T20:03:01,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
2017-07-03T23:03:10.579,12895.0,started,539.57,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,47,03000400,2017-05-30T10:06:25,2017-07-03T22:59:28,37,03000400,2017-05-30T10:06:29,2017-07-03T19:36:54,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,45,03000400,2017-05-30T10:06:33,2017-07-03T20:03:01,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
2017-07-03T23:04:10.579,41992.0,started,539.96,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,47,03000400,2017-05-30T10:06:25,2017-07-03T22:59:28,37,03000400,2017-05-30T10:06:29,2017-07-03T19:36:54,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,45,03000400,2017-05-30T10:06:33,2017-07-03T20:03:01,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
2017-07-03T23:05:10.583,5554.0,started,538.58,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,47,03000400,2017-05-30T10:06:25,2017-07-03T22:59:28,37,03000400,2017-05-30T10:06:29,2017-07-03T19:36:54,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,45,03000400,2017-05-30T10:06:33,2017-07-03T20:03:01,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
2017-07-03T23:06:10.583,34623.0,started,539.96,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,47,03000400,2017-05-30T10:06:25,2017-07-03T22:59:28,37,03000400,2017-05-30T10:06:29,2017-07-03T19:36:54,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,45,03000400,2017-05-30T10:06:33,2017-07-03T20:03:01,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
2017-07-03T23:07:10.583,63676.0,started,539.96,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,47,03000400,2017-05-30T10:06:25,2017-07-03T22:59:28,37,03000400,2017-05-30T10:06:29,2017-07-03T19:36:54,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,45,03000400,2017-05-30T10:06:33,2017-07-03T20:03:01,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
2017-07-03T23:08:10.583,27193.0,started,540.35,ft/min,39,03000400,2017-05-30T10:06:22,2017-07-03T22:46:29,47,03000400,2017-05-30T10:06:25,2017-07-03T22:59:28,38,03000400,2017-05-30T10:06:29,2017-07-03T23:08:01,40,03000400,2017-05-30T10:06:31,2017-07-03T22:46:30,46,03000400,2017-05-30T10:06:33,2017-07-03T23:08:02,44,03000400,2017-05-30T10:06:34,2017-07-03T22:46:28
