timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,CommObjectBridgeCAN - invalid PDO Burstnumberoccur,CommObjectBridgeCAN - invalid PDO Bursterrid,CommObjectBridgeCAN - invalid PDO Burstfirsttime,CommObjectBridgeCAN - invalid PDO Burstlasttime
2017-07-11T22:58:16.075,60708.0,started,537.8,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
2017-07-11T22:59:16.075,24090.0,started,537.8,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
2017-07-11T23:00:16.075,53053.0,started,537.8,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
2017-07-11T23:01:16.076,16480.0,started,537.8,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
2017-07-11T23:02:16.075,45383.0,started,537.8,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
2017-07-11T23:03:16.075,8780.0,started,537.8,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
2017-07-11T23:04:16.075,37713.0,started,537.8,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
2017-07-11T23:05:16.120,1320.0,started,537.6,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
2017-07-11T23:06:16.079,30253.0,started,538.98,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
2017-07-11T23:07:16.079,59261.0,started,538.98,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
2017-07-11T23:08:16.079,22733.0,started,538.98,ft/min,79,03000400,2017-05-30T10:06:22,2017-07-10T12:34:31,77,03000400,2017-05-30T10:06:25,2017-07-10T12:39:13,75,03000400,2017-05-30T10:06:29,2017-07-10T12:39:15,60,03000400,2017-05-30T10:06:31,2017-07-08T03:51:03,73,03000400,2017-05-30T10:06:33,2017-07-08T01:05:42,85,03000400,2017-05-30T10:06:34,2017-07-10T10:08:58,1,03000207,2017-07-10T12:39:19,2017-07-10T12:39:19
