,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,throughput
10,2017-07-05T23:08:11.875,50561.0,started,540.55,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,90.0
11,2017-07-05T23:09:11.875,14138.0,started,540.75,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,88.0
12,2017-07-05T23:10:11.875,43235.0,started,540.55,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,99.0
13,2017-07-05T23:11:11.875,6768.0,started,540.55,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,92.0
14,2017-07-05T23:12:11.875,35836.0,started,540.35,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,78.0
15,2017-07-05T23:13:11.876,64904.0,started,538.58,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,70.0
16,2017-07-05T23:14:11.875,28421.0,started,538.58,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,63.0
17,2017-07-05T23:15:11.868,57504.0,started,538.58,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,82.0
18,2017-07-05T23:16:11.868,21081.0,started,540.16,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,96.0
19,2017-07-05T23:17:11.868,50179.0,started,540.16,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,68.0
20,2017-07-05T23:18:11.868,13741.0,started,540.16,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,56.0
21,2017-07-05T23:19:11.868,42809.0,started,541.14,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,63.0
22,2017-07-05T23:20:11.868,6326.0,started,536.81,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,58.0
