timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 11numberoccur,CAN1: Dev. 11errid,CAN1: Dev. 11firsttime,CAN1: Dev. 11lasttime,CAN1: Dev. 12numberoccur,CAN1: Dev. 12errid,CAN1: Dev. 12firsttime,CAN1: Dev. 12lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime
2017-07-31T23:08:29.449,41069.0,started,537.4,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:09:29.481,4661.0,started,537.4,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:10:29.455,33609.0,started,537.4,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:11:29.458,62647.0,started,537.4,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:12:29.453,26149.0,started,540.35,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:13:29.453,55157.0,started,540.35,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:14:29.453,18644.0,started,540.35,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:15:29.516,47817.0,started,540.35,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:16:29.453,11184.0,started,538.98,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:17:29.453,40237.0,started,538.98,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:18:29.453,3814.0,started,539.57,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:19:29.453,32882.0,started,538.58,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:20:29.453,61950.0,started,538.58,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:21:29.457,25467.0,started,538.78,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:22:29.457,54550.0,started,538.78,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
2017-07-31T23:23:29.457,18112.0,started,537.4,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,03000400,2017-07-24T10:00:38,2017-07-31T22:53:01
