timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime
2017-07-07T23:08:13.292,11520.0,started,540.35,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:09:13.292,40499.0,started,540.35,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:10:13.292,3926.0,started,537.01,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:11:13.292,32949.0,started,539.76,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:12:13.292,61957.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:13:13.292,25413.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:14:13.292,54407.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:15:13.292,17834.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:16:13.304,46871.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:17:13.304,10314.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:18:13.304,39367.0,started,540.35,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:19:13.304,2914.0,started,537.4,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:20:13.304,32027.0,started,539.37,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:21:13.304,61124.0,started,539.37,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
