,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,throughput
15,2017-08-10T23:13:17.750,25951.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,51.0
16,2017-08-10T23:14:17.755,54989.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,52.0
17,2017-08-10T23:15:17.755,18551.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,63.0
18,2017-08-10T23:16:17.755,47604.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,59.0
19,2017-08-10T23:17:17.755,11076.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,39.0
20,2017-08-10T23:18:17.755,40144.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,66.0
21,2017-08-10T23:19:17.755,3676.0,started,538.78,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,64.0
22,2017-08-10T23:20:17.778,32819.0,started,538.58,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,77.0
23,2017-08-10T23:21:17.755,61872.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,87.0
24,2017-08-10T23:22:17.755,25434.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,94.0
