timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime
2017-08-08T22:58:16.224,29124.0,started,542.52,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T22:59:16.224,58252.0,started,538.19,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:00:16.224,21814.0,started,538.19,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:01:16.224,50897.0,started,538.58,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:02:16.224,14444.0,started,538.58,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:03:16.230,43482.0,started,538.58,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:04:16.230,7074.0,started,538.98,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:05:16.231,36187.0,started,538.98,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:06:16.230,65285.0,started,538.98,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:07:16.230,28832.0,started,538.98,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:08:16.231,57900.0,started,538.98,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:09:16.230,21372.0,started,538.98,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:10:16.230,50380.0,started,538.98,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:11:16.230,13837.0,started,538.98,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:12:16.230,42875.0,started,539.96,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:13:16.235,6347.0,started,539.96,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:14:16.244,35460.0,started,539.96,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:15:16.235,64513.0,started,539.96,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:16:16.235,28105.0,started,538.78,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:17:16.235,57173.0,started,538.78,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
2017-08-08T23:18:16.235,20810.0,started,540.75,ft/min,20,03000400,2017-08-03T19:15:24,2017-08-08T20:50:37,30,03000400,2017-08-03T19:15:25,2017-08-08T18:45:27,29,03000400,2017-08-03T19:15:25,2017-08-08T18:45:26,24,03000400,2017-08-03T19:15:26,2017-08-08T17:29:47
