,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,throughput
0,2017-08-14T22:58:20.865,35241.0,started,539.57,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,24.0
1,2017-08-14T22:59:20.865,64264.0,started,539.57,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,52.0
2,2017-08-14T23:00:20.865,27751.0,started,539.57,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,50.0
3,2017-08-14T23:01:20.865,56729.0,started,539.57,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,21.0
4,2017-08-14T23:02:20.865,20216.0,started,540.35,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,33.0
5,2017-08-14T23:03:20.865,49299.0,started,540.55,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,75.0
6,2017-08-14T23:04:20.870,12801.0,started,539.96,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,43.0
7,2017-08-14T23:05:20.894,41929.0,started,539.96,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,66.0
8,2017-08-14T23:06:20.870,5401.0,started,539.96,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,81.0
9,2017-08-14T23:07:20.870,34469.0,started,539.96,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,78.0
10,2017-08-14T23:08:20.870,63552.0,started,539.96,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,67.0
11,2017-08-14T23:09:20.870,27129.0,started,540.35,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,81.0
12,2017-08-14T23:10:20.870,56182.0,started,540.35,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,55.0
13,2017-08-14T23:11:20.870,19714.0,started,541.93,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,69.0
14,2017-08-14T23:12:20.870,48767.0,started,539.96,ft/min,48,3000400,2017-08-03T19:15:24,2017-08-14T21:54:50,66,3000400,2017-08-03T19:15:25,2017-08-14T22:08:24,59,3000400,2017-08-03T19:15:25,2017-08-14T19:42:30,69,3000400,2017-08-03T19:15:26,2017-08-14T21:54:50,55.0
