,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 11numberoccur,CAN1: Dev. 11errid,CAN1: Dev. 11firsttime,CAN1: Dev. 11lasttime,CAN1: Dev. 12numberoccur,CAN1: Dev. 12errid,CAN1: Dev. 12firsttime,CAN1: Dev. 12lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,throughput
0,2017-07-28T22:58:27.197,10508.0,stopped,0.0,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,40,3000400,2017-07-24T10:00:36,2017-07-28T22:42:40,15,3000400,2017-07-24T10:00:36,2017-07-28T22:16:38,53,3000400,2017-07-24T10:00:36,2017-07-28T22:44:10,51,3000400,2017-07-24T10:00:37,2017-07-28T22:44:10,37,3000400,2017-07-24T10:00:37,2017-07-28T22:09:29,40,3000400,2017-07-24T10:00:38,2017-07-28T22:42:41,0.0
1,2017-07-28T22:58:34.951,11108.0,started,260.04,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,40,3000400,2017-07-24T10:00:36,2017-07-28T22:42:40,15,3000400,2017-07-24T10:00:36,2017-07-28T22:16:38,53,3000400,2017-07-24T10:00:36,2017-07-28T22:44:10,51,3000400,2017-07-24T10:00:37,2017-07-28T22:44:10,37,3000400,2017-07-24T10:00:37,2017-07-28T22:09:29,40,3000400,2017-07-24T10:00:38,2017-07-28T22:42:41,1.0
2,2017-07-28T22:59:27.197,19101.0,started,536.02,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,40,3000400,2017-07-24T10:00:36,2017-07-28T22:42:40,15,3000400,2017-07-24T10:00:36,2017-07-28T22:16:38,53,3000400,2017-07-24T10:00:36,2017-07-28T22:44:10,51,3000400,2017-07-24T10:00:37,2017-07-28T22:44:10,37,3000400,2017-07-24T10:00:37,2017-07-28T22:09:29,40,3000400,2017-07-24T10:00:38,2017-07-28T22:42:41,73.0
3,2017-07-28T23:00:27.231,48364.0,started,540.35,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,40,3000400,2017-07-24T10:00:36,2017-07-28T22:42:40,15,3000400,2017-07-24T10:00:36,2017-07-28T22:16:38,53,3000400,2017-07-24T10:00:36,2017-07-28T22:44:10,51,3000400,2017-07-24T10:00:37,2017-07-28T22:44:10,37,3000400,2017-07-24T10:00:37,2017-07-28T22:09:29,40,3000400,2017-07-24T10:00:38,2017-07-28T22:42:41,124.0
4,2017-07-28T23:01:27.201,11761.0,started,540.35,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,40,3000400,2017-07-24T10:00:36,2017-07-28T22:42:40,15,3000400,2017-07-24T10:00:36,2017-07-28T22:16:38,53,3000400,2017-07-24T10:00:36,2017-07-28T22:44:10,51,3000400,2017-07-24T10:00:37,2017-07-28T22:44:10,37,3000400,2017-07-24T10:00:37,2017-07-28T22:09:29,40,3000400,2017-07-24T10:00:38,2017-07-28T22:42:41,57.0
5,2017-07-28T23:02:27.201,40754.0,started,540.35,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,40,3000400,2017-07-24T10:00:36,2017-07-28T22:42:40,15,3000400,2017-07-24T10:00:36,2017-07-28T22:16:38,53,3000400,2017-07-24T10:00:36,2017-07-28T22:44:10,51,3000400,2017-07-24T10:00:37,2017-07-28T22:44:10,37,3000400,2017-07-24T10:00:37,2017-07-28T22:09:29,40,3000400,2017-07-24T10:00:38,2017-07-28T22:42:41,32.0
6,2017-07-28T23:03:27.201,4241.0,started,537.8,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,40,3000400,2017-07-24T10:00:36,2017-07-28T22:42:40,15,3000400,2017-07-24T10:00:36,2017-07-28T22:16:38,53,3000400,2017-07-24T10:00:36,2017-07-28T22:44:10,51,3000400,2017-07-24T10:00:37,2017-07-28T22:44:10,37,3000400,2017-07-24T10:00:37,2017-07-28T22:09:29,40,3000400,2017-07-24T10:00:38,2017-07-28T22:42:41,43.0
7,2017-07-28T23:04:27.201,33249.0,started,538.58,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,40,3000400,2017-07-24T10:00:36,2017-07-28T22:42:40,15,3000400,2017-07-24T10:00:36,2017-07-28T22:16:38,53,3000400,2017-07-24T10:00:36,2017-07-28T22:44:10,51,3000400,2017-07-24T10:00:37,2017-07-28T22:44:10,37,3000400,2017-07-24T10:00:37,2017-07-28T22:09:29,40,3000400,2017-07-24T10:00:38,2017-07-28T22:42:41,68.0
8,2017-07-28T23:05:27.201,62242.0,started,538.58,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,40,3000400,2017-07-24T10:00:36,2017-07-28T22:42:40,15,3000400,2017-07-24T10:00:36,2017-07-28T22:16:38,53,3000400,2017-07-24T10:00:36,2017-07-28T22:44:10,51,3000400,2017-07-24T10:00:37,2017-07-28T22:44:10,37,3000400,2017-07-24T10:00:37,2017-07-28T22:09:29,40,3000400,2017-07-24T10:00:38,2017-07-28T22:42:41,45.0
9,2017-07-28T23:06:27.201,25729.0,started,538.58,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,40,3000400,2017-07-24T10:00:36,2017-07-28T22:42:40,15,3000400,2017-07-24T10:00:36,2017-07-28T22:16:38,53,3000400,2017-07-24T10:00:36,2017-07-28T22:44:10,51,3000400,2017-07-24T10:00:37,2017-07-28T22:44:10,37,3000400,2017-07-24T10:00:37,2017-07-28T22:09:29,40,3000400,2017-07-24T10:00:38,2017-07-28T22:42:41,54.0
