devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-23T12:26:54.750,21765.0,0089PS06CT12017-07-23T12:26:52781,7651.0,2017-07-23T12:26:52.709,13.93,inch,129.0,ms,-1.0,inch,FC300008,13.4,inch,13.4,6.8,861.0,degree/10,12210.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,539.96,ft/min,11.6,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:26:56.025,25155.0,0089PS06CT12017-07-23T12:26:53782,7652.0,2017-07-23T12:26:53.962,13.3,inch,124.0,ms,121.88,inch,FC300008,13.4,inch,16.6,8.6,-900.0,degree/10,19130.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,539.96,ft/min,4.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:26:57.625,29430.0,0089PS06CT12017-07-23T12:26:55783,7653.0,2017-07-23T12:26:55.573,12.12,inch,112.0,ms,161.29,inch,FC300008,11.6,inch,11.4,3.8,-15.0,degree/10,5025.0,inch3/10,0.0,inch3/10,2746.0,mm/sec,539.96,ft/min,3.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:26:58.555,31905.0,0089PS06CT12017-07-23T12:26:56784,7654.0,2017-07-23T12:26:56.496,29.68,inch,275.0,ms,69.72,inch,FC300008,29.2,inch,22.2,12.2,-5.0,degree/10,79085.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,539.96,ft/min,29.5,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:26:59.239,33735.0,0089PS06CT12017-07-23T12:26:57785,7655.0,2017-07-23T12:26:57.175,25.47,inch,236.0,ms,47.87,inch,FC300008,23.6,inch,32.6,3.8,-884.0,degree/10,29236.0,inch3/10,0.0,inch3/10,2783.0,mm/sec,539.96,ft/min,13.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:01.196,38955.0,0089PS06CT12017-07-23T12:26:59786,7656.0,2017-07-23T12:26:59.127,13.93,inch,129.0,ms,196.49,inch,FC300008,13.6,inch,10.4,9.6,-10.0,degree/10,13578.0,inch3/10,0.0,inch3/10,2754.0,mm/sec,539.96,ft/min,8.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:02.188,41595.0,0089PS06CT12017-07-23T12:27:00787,7657.0,2017-07-23T12:27:00.145,11.49,inch,107.0,ms,98.22,inch,FC300008,11.4,inch,18.0,6.0,895.0,degree/10,12312.0,inch3/10,0.0,inch3/10,2751.0,mm/sec,535.24,ft/min,15.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:02.483,42375.0,0089PS06CT12017-07-23T12:27:00788,7658.0,2017-07-23T12:27:00.426,10.9,inch,102.0,ms,19.37,inch,FC300008,10.6,inch,8.4,6.8,-24.0,degree/10,6055.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,535.24,ft/min,4.7,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:03.866,46080.0,0089PS06CT12017-07-23T12:27:01789,7659.0,2017-07-23T12:27:01.817,19.37,inch,181.0,ms,130.39,inch,FC300008,18.8,inch,13.0,8.6,6.0,degree/10,21018.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,541.34,ft/min,18.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:04.978,49050.0,0089PS06CT12017-07-23T12:27:02790,7660.0,2017-07-23T12:27:02.912,40.0,inch,370.0,ms,78.22,inch,FC300008,38.8,inch,31.4,22.0,16.0,degree/10,268030.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,537.01,ft/min,75.7,LB,0,0,1,0,0,0,0,1,1,0,0
