devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-30T06:03:32.103,42319.0,0089PS06CT12017-07-30T06:03:30193,643.0,2017-07-30T06:03:30.070,7.87,inch,72.0,ms,-1.0,inch,FC300008,5.0,inch,9.2,3.0,761.0,degree/10,1380.0,inch3/10,0.0,inch3/10,2799.0,mm/sec,541.54,ft/min,1.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-30T06:03:46.872,16308.0,0089PS06CT12017-07-30T06:03:44194,644.0,2017-07-30T06:03:44.836,37.59,inch,347.0,ms,-1.0,inch,FC300008,36.4,inch,15.4,14.0,-43.0,degree/10,78478.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,541.54,ft/min,21.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-30T06:04:28.374,61817.0,0089PS06CT12017-07-30T06:04:26195,645.0,2017-07-30T06:04:26.337,9.09,inch,84.0,ms,-1.0,inch,FC300008,5.0,inch,9.2,2.8,555.0,degree/10,1288.0,inch3/10,0.0,inch3/10,2749.0,mm/sec,541.54,ft/min,1.1,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-30T06:05:02.048,20820.0,0089PS06CT12017-07-30T06:05:00196,646.0,2017-07-30T06:05:00.009,9.68,inch,90.0,ms,-1.0,inch,FC300008,9.0,inch,5.2,3.0,-28.0,degree/10,1404.0,inch3/10,0.0,inch3/10,2741.0,mm/sec,541.54,ft/min,1.2,LB,0,0,1,0,0,0,0,1,1,0,0
