timestamp,oga,ole,owi,ohe,oa,obv,otve,speed,owe,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,timeInterval
2017-07-23 12:27:24.294,38.77,25.0,11.6,8.8,9.0,25520.0,2767.0,537.01,42.3,0,1,1,0,0,0,0,1,1,0.5970000000000001
2017-07-23 12:27:27.044,237.12,58.2,16.8,12.4,-4.0,121242.0,2775.0,537.01,25.3,0,0,1,0,0,0,0,1,1,2.75
2017-07-23 12:27:28.192,102.48,18.8,27.0,17.2,891.0,87307.0,2767.0,537.01,19.2,0,0,1,0,0,0,0,1,1,1.1480000000000001
2017-07-23 12:27:29.008,76.41,12.8,16.2,7.8,863.0,16174.0,2767.0,537.01,5.3,0,0,1,0,0,0,0,1,1,0.8160000000000001
2017-07-23 12:27:29.662,44.25,26.2,26.8,12.2,895.0,85664.0,2759.0,537.01,30.7,0,0,1,0,0,0,0,1,1,0.654
2017-07-23 12:27:30.460,67.91,19.2,18.2,13.2,4.0,46126.0,2759.0,537.01,26.9,0,1,1,0,0,0,0,1,1,0.798
2017-07-23 12:27:32.247,165.55,23.6,13.4,15.0,-11.0,47436.0,2773.0,537.01,16.9,0,0,1,0,0,0,0,1,1,1.7870000000000001
2017-07-23 12:27:32.774,40.0,16.4,17.0,9.0,866.0,25092.0,2765.0,537.01,7.3,0,0,1,0,0,0,0,1,1,0.527
2017-07-23 12:27:33.791,88.54,20.4,14.4,12.2,-8.0,35839.0,2767.0,537.01,8.5,0,0,1,0,0,0,0,1,1,1.0170000000000001
2017-07-23 12:27:35.529,163.11,25.0,23.6,13.4,4.0,79060.0,2767.0,537.01,5.4,0,0,1,0,0,0,0,1,1,1.7380000000000002
2017-07-23 12:27:36.225,55.78,18.8,18.6,13.0,-3.0,45458.0,2767.0,537.01,22.3,0,0,1,0,0,0,0,1,1,0.6960000000000001
2017-07-23 12:27:36.580,18.77,18.0,16.2,12.4,-21.0,36158.0,2778.0,537.01,11.4,0,0,1,0,0,0,0,1,1,0.35500000000000004
2017-07-23 12:27:37.244,21.22,47.8,16.6,6.4,-263.0,50783.0,2775.0,537.01,9.3,0,0,0,1,1,0,0,0,0,0.664
2017-07-23 12:27:37.636,20.59,16.4,15.8,8.0,415.0,20730.0,2815.0,537.01,2.9,0,0,1,0,0,0,0,1,1,0.392
2017-07-23 12:27:38.009,23.62,15.0,6.4,6.2,-35.0,5952.0,2762.0,537.01,0.8,0,0,1,0,0,0,0,1,1,0.373
2017-07-23 12:27:38.505,22.4,31.4,12.6,9.8,-22.0,38773.0,2764.0,537.01,0.0,0,1,1,0,0,0,0,1,1,0.49600000000000005
2017-07-23 12:27:38.914,21.81,23.8,14.4,11.0,-9.0,37699.0,2764.0,537.01,12.1,0,0,1,0,0,0,0,1,1,0.40900000000000003
2017-07-23 12:27:39.317,18.77,18.4,24.8,9.4,-820.0,42894.0,2773.0,537.01,19.7,0,0,1,0,0,0,0,1,1,0.403
2017-07-23 12:27:39.691,19.37,18.4,24.8,9.2,-865.0,41981.0,2767.0,537.01,19.7,0,0,1,0,0,0,0,1,1,0.374
2017-07-23 12:27:40.148,27.87,21.2,14.4,5.2,-31.0,15875.0,2804.0,537.01,5.5,0,0,1,0,0,0,0,1,1,0.457
2017-07-23 12:27:40.934,59.4,24.6,18.8,9.0,-11.0,41623.0,2773.0,537.01,19.6,0,0,1,0,0,0,0,1,1,0.786
2017-07-23 12:27:41.448,31.53,24.2,12.6,12.4,-15.0,37810.0,2778.0,537.01,37.6,0,0,1,0,0,0,0,1,1,0.514
2017-07-23 12:27:43.428,170.39,43.4,23.6,12.4,-7.0,127006.0,2764.0,541.93,74.4,0,0,1,0,0,0,0,1,1,1.9800000000000002
2017-07-23 12:27:43.971,43.03,12.8,15.0,2.4,887.0,4608.0,2807.0,541.93,1.3,0,0,0,0,1,0,0,0,1,0.543
2017-07-23 12:27:44.289,20.0,17.8,11.6,8.2,-21.0,16931.0,2812.0,541.93,30.6,0,0,1,0,0,0,0,1,1,0.318
2017-07-23 12:27:44.636,20.0,16.6,13.6,11.0,-32.0,24834.0,2767.0,536.42,26.5,0,1,0,0,1,0,0,0,1,0.34700000000000003
2017-07-23 12:27:45.000,23.03,14.6,19.2,12.0,880.0,33638.0,2783.0,538.19,11.7,0,1,1,0,0,0,0,1,1,0.36400000000000005
2017-07-23 12:27:45.419,36.96,7.4,9.4,5.6,860.0,3895.0,2754.0,538.19,2.1,0,0,1,0,0,0,0,1,1,0.41900000000000004
2017-07-23 12:27:45.895,20.0,24.8,18.4,9.4,-175.0,42894.0,2762.0,538.19,19.7,0,0,1,0,0,0,0,1,1,0.47600000000000003
2017-07-23 12:27:46.415,28.5,26.8,16.2,12.4,-10.0,53836.0,2767.0,538.19,17.0,0,0,1,0,0,0,0,1,1,0.52
2017-07-23 12:27:47.664,119.44,18.0,11.8,10.2,-16.0,21665.0,2773.0,538.19,36.2,0,0,1,0,0,0,0,1,1,1.249
2017-07-23 12:27:47.992,20.0,13.2,9.2,6.4,-4.0,7772.0,2767.0,538.19,3.1,0,0,1,0,0,0,0,1,1,0.328
2017-07-23 12:27:48.312,20.59,14.4,14.2,10.2,-11.0,20857.0,2773.0,538.19,6.6,0,0,1,0,0,0,0,1,1,0.32
2017-07-23 12:27:48.703,24.84,18.0,11.6,6.2,-24.0,12946.0,2762.0,538.19,21.4,0,0,1,0,0,0,0,1,1,0.391
2017-07-23 12:27:49.786,87.32,31.2,12.4,11.8,-6.0,45652.0,2804.0,538.19,-1.0,0,0,0,0,1,0,0,0,1,1.083
2017-07-23 12:27:50.367,52.12,10.4,8.4,6.6,-1.0,5766.0,2751.0,538.19,2.6,0,0,1,0,0,0,0,1,1,0.5810000000000001
